Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,City,State,Postal Code,lat,lon,distance (km)
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,1802.8117700919329
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,1012.0965627325653
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,1822.435119517356
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Aligned Impact Muscatine County,,Muscatine,IA,,41.4203142,-91.0470178,1383.9831381565657
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,2751.4782327043004
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,1800.2251361759909
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,1554.6273735025102
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,2171.7668762462113
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,2580.6228779591547
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,1098.7594649604969
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,2729.404069871783
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,2546.3808983853687
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,2518.7147417164347
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,2337.0552569668207
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Building Our Future,,Kenosha,WI,,42.5857821,-87.8189353,1635.4062655131956
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Community Foundation of North Louisiana,,Shreveport,LA,,32.513053,-93.7500634,457.5955334541121
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Cradle to Career,,Rochester,MN,,44.0238273,-92.4769911,1604.5519015457562
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Cradle to Career Alliance,,Columbia,MO,,38.94999,-92.30325,1091.4371188120117
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Cradle to Career Cincinnati,,Cincinnati,OH,,39.1101157,-84.563557,1557.065162014243
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Cradle to Career Partnership,,Tucson,AZ,,32.2255266,-110.9829945,1277.815143723776
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Cradle to Career Sonoma County,,Santa Rosa,CA,,38.4424095,-122.7149157,2459.381564204125
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Delta Health Alliance,,Stoneville,MS,,33.4218755,-90.9078929,738.0394056052685
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,E3 Alliance,,Austin,TX,,30.3228283,-97.7123847,12.41596570663201
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Eastside Pathways,,Bellevue,WA,,47.628482,-122.191563,2845.4467107503106
YBUSA,American YouthWorks,1901 E. Ben White Bv,Austin,TX,78741,30.21537,-97.747365,Strive Together,Every Hand Joined,,Red Wing,MN,,44.5642198,-92.5319334,1660.3007316688684
